0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,1.2406e-06,1.2406e-06,1.2406e-06,1.9478e-06,0.00018563,0.00018563,0.00018563,0.00029144,0.01847,0.01847,0.01847,0.028997
0.04,9.8506e-06,9.8506e-06,9.8506e-06,1.5465e-05,0.00073508,0.00073508,0.00073508,0.0011541,0.036383,0.036383,0.036383,0.057121
0.06,3.2995e-05,3.2995e-05,3.2995e-05,5.1802e-05,0.0016373,0.0016373,0.0016373,0.0025705,0.053744,0.053744,0.053744,0.084378
0.08,7.7619e-05,7.7619e-05,7.7619e-05,0.00012186,0.0028812,0.0028812,0.0028812,0.0045235,0.07056,0.07056,0.07056,0.11078
0.1,0.00015045,0.00015045,0.00015045,0.00023621,0.0044561,0.0044561,0.0044561,0.006996,0.086836,0.086836,0.086836,0.13633
0.12,0.000258,0.000258,0.000258,0.00040505,0.0063511,0.0063511,0.0063511,0.0099712,0.10258,0.10258,0.10258,0.16105
0.14,0.00040656,0.00040656,0.00040656,0.00063829,0.0085556,0.0085556,0.0085556,0.013432,0.11779,0.11779,0.11779,0.18493
0.16,0.00060221,0.00060221,0.00060221,0.00094548,0.011059,0.011059,0.011059,0.017363,0.13248,0.13248,0.13248,0.20799
0.18,0.00085085,0.00085085,0.00085085,0.0013358,0.013851,0.013851,0.013851,0.021747,0.14665,0.14665,0.14665,0.23024
0.2,0.0011581,0.0011581,0.0011581,0.0018183,0.016922,0.016922,0.016922,0.026567,0.16031,0.16031,0.16031,0.25169
0.22,0.0015295,0.0015295,0.0015295,0.0024013,0.020261,0.020261,0.020261,0.031809,0.17347,0.17347,0.17347,0.27234
0.24,0.0019703,0.0019703,0.0019703,0.0030933,0.023857,0.023857,0.023857,0.037456,0.18612,0.18612,0.18612,0.29221
0.26,0.0024855,0.0024855,0.0024855,0.0039022,0.027702,0.027702,0.027702,0.043492,0.19828,0.19828,0.19828,0.3113
0.28,0.0030799,0.0030799,0.0030799,0.0048355,0.031785,0.031785,0.031785,0.049903,0.20995,0.20995,0.20995,0.32962
0.3,0.0037584,0.0037584,0.0037584,0.0059007,0.036097,0.036097,0.036097,0.056672,0.22113,0.22113,0.22113,0.34718
0.32,0.0045253,0.0045253,0.0045253,0.0071047,0.040627,0.040627,0.040627,0.063785,0.23184,0.23184,0.23184,0.36399
0.34,0.0053849,0.0053849,0.0053849,0.0084542,0.045367,0.045367,0.045367,0.071226,0.24207,0.24207,0.24207,0.38006
0.36,0.0063413,0.0063413,0.0063413,0.0099558,0.050307,0.050307,0.050307,0.078982,0.25184,0.25184,0.25184,0.39539
0.38,0.0073984,0.0073984,0.0073984,0.011616,0.055438,0.055438,0.055438,0.087037,0.26115,0.26115,0.26115,0.41
0.4,0.00856,0.00856,0.00856,0.013439,0.06075,0.06075,0.06075,0.095378,0.27,0.27,0.27,0.4239
0.42,0.0098296,0.0098296,0.0098296,0.015432,0.066235,0.066235,0.066235,0.10399,0.2784,0.2784,0.2784,0.43709
0.44,0.01121,0.01121,0.01121,0.0176,0.071883,0.071883,0.071883,0.11286,0.28636,0.28636,0.28636,0.44958
0.46,0.012706,0.012706,0.012706,0.019948,0.077686,0.077686,0.077686,0.12197,0.29388,0.29388,0.29388,0.46138
0.48,0.014319,0.014319,0.014319,0.022481,0.083635,0.083635,0.083635,0.13131,0.30096,0.30096,0.30096,0.47251
0.5,0.016052,0.016052,0.016052,0.025202,0.089722,0.089722,0.089722,0.14086,0.30762,0.30762,0.30762,0.48296
0.52,0.017909,0.017909,0.017909,0.028117,0.095937,0.095937,0.095937,0.15062,0.31385,0.31385,0.31385,0.49275
0.54,0.019891,0.019891,0.019891,0.031228,0.10227,0.10227,0.10227,0.16057,0.31967,0.31967,0.31967,0.50188
0.56,0.022,0.022,0.022,0.03454,0.10872,0.10872,0.10872,0.17069,0.32508,0.32508,0.32508,0.51038
0.58,0.02424,0.02424,0.02424,0.038057,0.11527,0.11527,0.11527,0.18098,0.33008,0.33008,0.33008,0.51823
0.6,0.026612,0.026612,0.026612,0.041781,0.12192,0.12192,0.12192,0.19142,0.33469,0.33469,0.33469,0.52546
0.62,0.029118,0.029118,0.029118,0.045715,0.12866,0.12866,0.12866,0.20199,0.3389,0.3389,0.3389,0.53207
0.64,0.031759,0.031759,0.031759,0.049861,0.13548,0.13548,0.13548,0.2127,0.34272,0.34272,0.34272,0.53807
0.66,0.034537,0.034537,0.034537,0.054223,0.14236,0.14236,0.14236,0.22351,0.34616,0.34616,0.34616,0.54347
0.68,0.037454,0.037454,0.037454,0.058802,0.14932,0.14932,0.14932,0.23443,0.34922,0.34922,0.34922,0.54828
0.7,0.04051,0.04051,0.04051,0.063601,0.15633,0.15633,0.15633,0.24544,0.35191,0.35191,0.35191,0.55251
0.72,0.043707,0.043707,0.043707,0.068621,0.16339,0.16339,0.16339,0.25653,0.35424,0.35424,0.35424,0.55616
0.74,0.047046,0.047046,0.047046,0.073863,0.1705,0.1705,0.1705,0.26768,0.35621,0.35621,0.35621,0.55924
0.76,0.050528,0.050528,0.050528,0.079328,0.17764,0.17764,0.17764,0.27889,0.35782,0.35782,0.35782,0.56177
0.78,0.054152,0.054152,0.054152,0.085019,0.18481,0.18481,0.18481,0.29015,0.35908,0.35908,0.35908,0.56376
0.8,0.05792,0.05792,0.05792,0.090934,0.192,0.192,0.192,0.30144,0.36,0.36,0.36,0.5652
0.82,0.061832,0.061832,0.061832,0.097076,0.19921,0.19921,0.19921,0.31275,0.36058,0.36058,0.36058,0.56611
