time,pos_x,pos_y,pos_z,yaw,vel_x,vel_y,vel_z,vel_yaw,acc_x,acc_y,acc_z,acc_yaw
0.0,-9.994331439899451e-17,-3.7495857684088894e-17,4.3977426044344187e-17,-3.703688062324655e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-2.160161421019355e-07,-7.558558178615281e-08,7.639726681458816e-07,-1.3445442858326311e-07,-6.47838919152345e-05,-2.2671549935145958e-05,0.00022870234995897164,-4.0292849244953243e-05,-0.012948386332319357,-0.00453265449305147,0.04554485457212182,-0.008041184895166484
0.02,-1.7264483706485098e-06,-6.04352423589725e-07,6.072691214715801e-06,-1.0721597923883476e-06,-0.0002587987079714843,-9.061941416095116e-05,0.000907001259944787,-0.00016047667620022795,-0.025846067062156277,-0.009055206276075128,0.08992095969494368,-0.01597826327939815
0.03,-5.821058870420633e-06,-2.038552874647597e-06,2.0363848536514505e-05,-3.6068273167420075e-06,-0.0005815338591623287,-0.00020374086811536334,0.00202325866615161,-0.00035951244787642023,-0.038692335593183774,-0.013567315856713247,0.13313820150589492,-0.02381164157668101
0.04,-1.3784468606218328e-05,-4.829395063920599e-06,4.795925119911568e-05,-8.521798218239077e-06,-0.0010324716905180382,-0.00036192979231273857,0.003565935366147881,-0.0006363651955239721,-0.05148648532907485,-0.0180686437426081,0.17520646614240487,-0.03154172621100106
0.05,-2.6896086663327988e-05,-9.427008950895238e-06,9.306580805064891e-05,-1.6590084347178116e-05,-0.0016110874811056139,-0.0005650766723438554,0.005523591018876333,-0.0009900040146331853,-0.06422780967350247,-0.022558850441401955,0.21613563974190278,-0.0391689236063443
0.06,-4.643003958788962e-05,-1.6280412376347913e-05,0.00015977651883554257,-2.8574408829959986e-05,-0.002316849444028786,-0.000813068598875915,0.007884884144653994,-0.0014194020649342218,-0.07691560203013967,-0.027037596460737088,0.2559356084418181,-0.04669364018669676
0.07,-7.365510072726427e-05,-2.5837477113109173e-05,0.00025207146280826684,-4.522724671148651e-05,-0.003149218726428016,-0.0011057892676525423,0.010638572125172188,-0.0019235365703971045,-0.08954915580265946,-0.03150454230825578,0.2946162583795802,-0.05411628237604442
0.08,-0.00010983461957040112,-3.854489491682786e-05,0.0003738187873470762,-6.729086559755895e-05,-0.004107649409480494,-0.0014431189794937834,0.013773511203496517,-0.002501388819231714,-0.10212776439473481,-0.035959348491600276,0.33218747569261825,-0.061437256598373284
0.09,-0.00015622645108820504,-5.484814357673549e-05,0.0005287756965677532,-9.549736629727678e-05,-0.005191588508400139,-0.0018249346402961079,0.017278656484066898,-0.0031519441638877942,-0.11465072121003866,-0.040401675518412866,0.36865914651836157,-0.06865696927766937
0.1,-0.00021408288507390359,-7.519145296641032e-05,0.000720589439937351,-0.00013056872346543615,-0.006400475972437604,-0.002251109761032408,0.021143061932697525,-0.0038741920210549445,-0.12711731965224413,-0.044831183896335836,0.40404115699423965,-0.07577582683791867
0.11,-0.0002846505754834148,-0.00010001777109454171,0.0009527983008879359,-0.0001732168262449286,-0.007733744684880271,-0.0027215144577520003,0.025355880376576906,-0.004667125871662631,-0.13952685312502422,-0.04924753413301145,0.4383433932576819,-0.08279423570310722
